experiment_id,dataset,number_of_data,model,prompt_set,number_of_shots,temperature,max_tokens,batch_size,pad_token,pad_token_id,eos_token,eos_token_id,seed,device,accuracy,average_pvi_for_T,average_pvi_for_F,accuracy_for_pvi<1/5quantile,accuracy_for_pvi>4/5quantile,accuracy_for_pvi<1/2quantile,accuracy_for_pvi>1/2quantile
20230518_092637,cola/raw/in_domain_dev.tsv,527,EleutherAI/gpt-j-6b,1a,4,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.5047,0.1354,0.1473,0.4717,0.4811,0.5361,0.4753
20230518_092711,cola/raw/in_domain_dev.tsv,527,EleutherAI/gpt-neo-2.7B,2a,4,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4573,0.0509,0.063,0.5472,0.4717,0.4829,0.4351
20230518_092759,cola/raw/in_domain_dev.tsv,527,EleutherAI/gpt-j-6b,1a,8,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.5066,0.0392,0.0287,0.4151,0.5472,0.4981,0.5133
20230518_092809,cola/raw/in_domain_dev.tsv,527,EleutherAI/gpt-neo-2.7B,2a,8,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4782,0.1218,0.1126,0.4811,0.5094,0.4466,0.5133
20230518_092908,cola/raw/in_domain_dev.tsv,527,EleutherAI/gpt-neo-2.7B,3a,4,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4839,0.1457,0.0998,0.4057,0.5472,0.4601,0.5095
20230518_092922,multinli/multinli_1.0_dev_matched.txt,9815,EleutherAI/gpt-j-6b,1a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3349,0.3824,0.2435,0.2873,0.3963,0.2951,0.3746
20230518_093006,cola/raw/in_domain_dev.tsv,527,EleutherAI/gpt-neo-2.7B,3a,8,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4801,-0.0586,-0.1967,0.3774,0.6226,0.4335,0.5247
20230518_093105,multinli/multinli_1.0_dev_matched.txt,9815,EleutherAI/gpt-neo-2.7B,2a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3046,0.5478,0.4225,0.229,0.3374,0.2702,0.3386
20230518_094959,multinli/multinli_1.0_dev_matched.txt,9815,EleutherAI/gpt-neo-2.7B,2a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3205,0.1432,0.1135,0.342,0.3727,0.3158,0.3253
20230518_095620,multinli/multinli_1.0_dev_matched.txt,9815,EleutherAI/gpt-j-6b,1a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3374,0.1837,0.0261,0.2613,0.4473,0.2723,0.4025
20230518_101042,multinli/multinli_1.0_dev_matched.txt,9815,EleutherAI/gpt-neo-2.7B,3a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3238,0.7082,0.356,0.1885,0.2938,0.2889,0.3588
20230518_102628,snli/snli_1.0_test.txt,9824,EleutherAI/gpt-j-6b,1a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3325,0.1995,0.1327,0.2865,0.3888,0.3033,0.3616
20230518_102925,multinli/multinli_1.0_dev_matched.txt,9815,EleutherAI/gpt-neo-2.7B,3a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3183,0.1321,0.2985,0.4354,0.2573,0.3786,0.2581
20230518_105039,snli/snli_1.0_test.txt,9824,EleutherAI/gpt-neo-2.7B,2a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.329,0.7461,0.3469,0.2021,0.3485,0.2811,0.376
20230518_105211,snli/snli_1.0_test.txt,9824,EleutherAI/gpt-j-6b,1a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3366,0.1751,0.1191,0.3125,0.399,0.3198,0.3534
20230518_110909,snli/snli_1.0_test.txt,9824,EleutherAI/gpt-neo-2.7B,2a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3219,0.7821,0.6509,0.287,0.3984,0.2865,0.3582
20230518_112353,cola/raw/in_domain_dev.tsv,527,togethercomputer/GPT-JT-6B-v1,1a,4,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4744,0.3337,0.3771,0.5189,0.5377,0.4905,0.4563
20230518_112511,cola/raw/in_domain_dev.tsv,527,togethercomputer/GPT-JT-6B-v1,1a,8,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.5123,-0.0127,-0.1368,0.3491,0.5755,0.4525,0.5703
20230518_112634,multinli/multinli_1.0_dev_matched.txt,9815,togethercomputer/GPT-JT-6B-v1,1a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3348,0.2763,0.1693,0.2033,0.3311,0.2912,0.3784
20230518_112902,snli/snli_1.0_test.txt,9824,EleutherAI/gpt-neo-2.7B,3a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3277,0.4878,0.5379,0.2394,0.2485,0.3251,0.3297
20230518_114703,snli/snli_1.0_test.txt,9824,EleutherAI/gpt-neo-2.7B,3a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3234,0.2639,0.248,0.2629,0.3816,0.2894,0.3574
20230518_115314,multinli/multinli_1.0_dev_matched.txt,9815,togethercomputer/GPT-JT-6B-v1,1a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3384,0.1548,0.013,0.1808,0.4799,0.2472,0.4294
20230518_120937,cola/raw/in_domain_dev.tsv,527,EleutherAI/gpt-j-6b,2a,4,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.5009,0.122,0.1357,0.4623,0.5094,0.5209,0.4791
20230518_121055,cola/raw/in_domain_dev.tsv,527,EleutherAI/gpt-j-6b,2a,8,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4991,0.2607,0.2104,0.434,0.5943,0.4411,0.5551
20230518_121217,cola/raw/in_domain_dev.tsv,527,EleutherAI/gpt-j-6b,3a,4,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.5142,0.0695,0.064,0.4717,0.5472,0.4791,0.5513
20230518_121336,cola/raw/in_domain_dev.tsv,527,EleutherAI/gpt-j-6b,3a,8,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4763,-0.0584,-0.0883,0.4528,0.5755,0.4563,0.4981
20230518_121458,multinli/multinli_1.0_dev_matched.txt,9815,EleutherAI/gpt-j-6b,2a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3316,0.2652,0.1434,0.2593,0.4137,0.2792,0.3841
20230518_122338,snli/snli_1.0_test.txt,9824,togethercomputer/GPT-JT-6B-v1,1a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.339,0.1117,0.0879,0.287,0.2453,0.3343,0.3436
20230518_124130,multinli/multinli_1.0_dev_matched.txt,9815,EleutherAI/gpt-j-6b,2a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3323,0.1579,0.0434,0.2399,0.4519,0.2698,0.3949
20230518_124919,snli/snli_1.0_test.txt,9824,togethercomputer/GPT-JT-6B-v1,1a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3341,0.1586,0.2736,0.372,0.2427,0.3844,0.2838
20230518_131157,multinli/multinli_1.0_dev_matched.txt,9815,EleutherAI/gpt-j-6b,3a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3288,0.2878,0.2693,0.3265,0.3556,0.3224,0.3352
20230518_133750,multinli/multinli_1.0_dev_matched.txt,9815,EleutherAI/gpt-j-6b,3a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3239,0.1967,0.1248,0.3021,0.406,0.2949,0.3528
20230518_140822,snli/snli_1.0_test.txt,9824,EleutherAI/gpt-j-6b,2a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3251,0.3028,0.2749,0.3084,0.3501,0.316,0.3343
20230518_143402,snli/snli_1.0_test.txt,9824,EleutherAI/gpt-j-6b,2a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3344,0.2223,0.118,0.3069,0.4132,0.305,0.3638
20230518_150329,snli/snli_1.0_test.txt,9824,EleutherAI/gpt-j-6b,3a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3284,0.3332,0.3189,0.3298,0.3476,0.3318,0.3249
20230518_152912,snli/snli_1.0_test.txt,9824,EleutherAI/gpt-j-6b,3a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3369,0.1888,0.2485,0.3659,0.2712,0.3687,0.3052
20230518_160054,cola/raw/in_domain_dev.tsv,527,togethercomputer/GPT-JT-6B-v1,2a,4,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.5275,0.601,0.313,0.3679,0.7358,0.4259,0.6274
20230518_160212,cola/raw/in_domain_dev.tsv,527,togethercomputer/GPT-JT-6B-v1,2a,8,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4915,0.046,-0.093,0.3396,0.6038,0.384,0.6008
